,station,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
21,CASA DE L'AIGUA/METRO (L11),Restaurant,Park,Breakfast Spot,Grocery Store,Pharmacy,Pie Shop,Food Court,Monument / Landmark,South American Restaurant,Taco Place
22,CATALUNYA/METRO (L1),Hotel,Coffe Shop,Tapas Restaurant,Bookstore,Plaza,Restaurant,Clothing Store,Theater,Sporting Goods Shop,Cocktail Bar
23,CIUTADELLA/TRAMVIA (T4),Restaurant,Nightclub,Coffe Shop,Japanese Restaurant,Mediterranean Restaurant,Italian Restaurant,South American Restaurant,Cocktail Bar,Gym,Lounge
24,CIUTAT MERIDIANA/METRO (L11),Mediterranean Restaurant,Plaza,Park,Grocery Store,Supermarket,Neighborhood,Comfort Food Restaurant,Food Court,Football Stadium,Monument / Landmark
25,CLOT/Tren AEROPORT,Restaurant,Coffe Shop,Tapas Restaurant,Hotel,Mediterranean Restaurant,Bakery,Bar,Dessert Shop,Cocktail Bar,Chinese Restaurant
26,CONGRÉS/METRO (L5),Tapas Restaurant,Restaurant,Gym,Grocery Store,Supermarket,Pizza Place,Farmers Market,Pharmacy,Sandwich Place,Dog Run
27,Castell/Telefèric de Montjuïc,Park,Restaurant,Castle,Athletics & Sports,Scenic Lookout,Historic Site,Lighthouse,Diner,Indie Movie Theater,Beer Garden
28,DE FRANÇA/RENFE,Tapas Restaurant,Cocktail Bar,Bar,Wine Bar,Restaurant,Coffe Shop,Hotel,Mediterranean Restaurant,Mexican Restaurant,Dessert Shop
29,DIAGONAL MAR/TRAMVIA (T4),Coffe Shop,Hotel,Clothing Store,Restaurant,Italian Restaurant,Diner,Tapas Restaurant,Burger Joint,Fried Chicken Joint,Juice Bar
30,DIAGONAL/METRO (L3),Hotel,Mediterranean Restaurant,Boutique,Restaurant,Tapas Restaurant,Cocktail Bar,Bakery,Coffe Shop,Hostel,Clothing Store
31,DRASSANES/METRO (L3),Restaurant,Bar,Tapas Restaurant,Hotel,Italian Restaurant,Mediterranean Restaurant,Cocktail Bar,Coffe Shop,Pizza Place,Seafood Restaurant
32,EL CARMEL/METRO (L5),Coffe Shop,Park,Food Court,Plaza,Grocery Store,Supermarket,Gym,Skate Park,Football Stadium,Monument / Landmark
33,EL COLL / LA TEIXONERA/METRO (L5),Scenic Lookout,Park,Hotel,Mediterranean Restaurant,Bakery,Mountain,Rock Club,Toy / Game Store,Food Court,Football Stadium
34,EL MARESME/METRO (L4),Coffe Shop,Restaurant,Hotel,Clothing Store,Italian Restaurant,Burger Joint,Tapas Restaurant,Diner,Fried Chicken Joint,Juice Bar
35,EL PUTXET/FGC,Bakery,Japanese Restaurant,Seafood Restaurant,Plaza,Restaurant,Coffe Shop,Mediterranean Restaurant,Tapas Restaurant,Park,Deli / Bodega
36,ENCANTS/METRO (L2),Restaurant,Coffe Shop,Gym,Sandwich Place,Hotel,Hot Dog Joint,Mediterranean Restaurant,Hostel,Burger Joint,Farmers Market
37,ENTENÇA/METRO (L5),Restaurant,Coffe Shop,Hotel,Mediterranean Restaurant,Grocery Store,Supermarket,Mexican Restaurant,Breakfast Spot,Japanese Restaurant,Gym
38,ESPANYA/METRO (L3),Restaurant,Coffe Shop,Tapas Restaurant,Plaza,Hotel,Bar,Seafood Restaurant,Gym,Peruvian Restaurant,Liquor Store
39,"ESPRONCEDA/TRAMVIA (T5, T6)",Supermarket,Restaurant,Tapas Restaurant,Mediterranean Restaurant,Asian Restaurant,Burger Joint,Tennis Court,Music Store,Historic Site,Bus Station
40,Estació Marítima Grimaldi Lines/Estació Marítima Grimaldi Lines,Scenic Lookout,Boat or Ferry,Cruise,Board Shop,Port,Toy / Game Store,Food Court,Football Stadium,Monument / Landmark,South American Restaurant
41,FABRA I PUIG/METRO (L1),Restaurant,Grocery Store,Bakery,Tapas Restaurant,Mediterranean Restaurant,Park,Bookstore,Brewery,Hot Dog Joint,Sandwich Place
42,FLUVIÀ/TRAMVIA (T4),Mediterranean Restaurant,Pizza Place,Restaurant,Park,Bakery,Hotel,Coffe Shop,Amphitheater,Bistro,Hot Dog Joint
43,FONTANA/METRO (L3),Restaurant,Coffe Shop,Plaza,Tapas Restaurant,Mediterranean Restaurant,Pizza Place,Bar,Bookstore,Sushi Restaurant,Ice Cream Shop
44,"FRANCESC MACIÀ/TRAMVIA (T1,T2,T3)",Restaurant,Coffe Shop,Japanese Restaurant,Mediterranean Restaurant,Bakery,Italian Restaurant,Burger Joint,Cocktail Bar,Hotel,Wine Shop
45,FÒRUM/TRAMVIA (T4),Restaurant,Coffe Shop,Clothing Store,Hotel,Italian Restaurant,Tapas Restaurant,Burger Joint,Fried Chicken Joint,Sporting Goods Shop,Fast Food Restaurant
46,GIRONA/METRO (L4),Hotel,Coffe Shop,Restaurant,Hostel,Burger Joint,Tapas Restaurant,Seafood Restaurant,Pizza Place,Gym,BBQ Joint
47,GLÒRIES/METRO (L1),Hotel,Restaurant,Mediterranean Restaurant,Theater,Clothing Store,Tapas Restaurant,Hostel,Climbing Gym,Art Museum,Coffe Shop
48,"GRÀCIA/FGC (L6,L7)",Tapas Restaurant,Restaurant,Mediterranean Restaurant,Coffe Shop,Plaza,Japanese Restaurant,Bar,Ice Cream Shop,Pizza Place,Grocery Store
49,HORTA/METRO (L5),Restaurant,Tapas Restaurant,Coffe Shop,Pizza Place,Food & Drink Shop,Burger Joint,Gym,Sandwich Place,Mediterranean Restaurant,Pub
50,HOSPITAL CLÍNIC/METRO (L5),Restaurant,Cocktail Bar,Coffe Shop,Tapas Restaurant,Mediterranean Restaurant,Japanese Restaurant,Bakery,Burger Joint,Hotel,Mexican Restaurant
51,HOSPITAL DE SANT PAU/METRO (L4),Supermarket,Gym,Restaurant,Farmers Market,Breakfast Spot,Swiss Restaurant,Pharmacy,Athletics & Sports,Pizza Place,Bar
52,HOSTAFRANCS/METRO (L1),Tapas Restaurant,Pizza Place,Restaurant,Hotel,Bar,Mediterranean Restaurant,Bakery,Hot Dog Joint,Nightclub,Wine Bar
53,JAUME I/METRO (L4),Tapas Restaurant,Coffe Shop,Plaza,Hotel,Wine Bar,Bar,Dessert Shop,Restaurant,Cocktail Bar,Ice Cream Shop
54,JOANIC/METRO (L4),Tapas Restaurant,Bar,Coffe Shop,Restaurant,Plaza,Pizza Place,Mediterranean Restaurant,Mexican Restaurant,Brewery,Vegetarian / Vegan Restaurant
55,Jaume I/Transbordador del Port,Coffe Shop,Pier,Park,Clothing Store,Boat or Ferry,Food Truck,Cosmetics Shop,Donut Shop,Hotel,Mediterranean Restaurant
56,"L'ILLA/TRAMVIA (T1,T2,T3)",Restaurant,Coffe Shop,Hotel,Clothing Store,Sporting Goods Shop,Sandwich Place,Park,Wine Shop,Cocktail Bar,Italian Restaurant
57,LA BONANOVA/FGC (L6),Restaurant,Japanese Restaurant,Italian Restaurant,Coffe Shop,Gastropub,Salad Place,Bakery,Gym,Burger Joint,Bistro
58,"LA FARINERA/TRAMVIA (T5, T6)",Restaurant,Hotel,Mediterranean Restaurant,Hostel,Gym,Clothing Store,Tapas Restaurant,Taco Place,Comfort Food Restaurant,Asian Restaurant
59,LA PAU/METRO (L4),Coffe Shop,Tapas Restaurant,Restaurant,Supermarket,Athletics & Sports,Art Gallery,Pharmacy,Bar,Fast Food Restaurant,Park
60,LA SAGRERA/METRO (L1),Restaurant,Grocery Store,Burger Joint,Bar,Supermarket,Gym,Bakery,Plaza,Tapas Restaurant,Playground
61,LES CORTS/METRO (L3),Restaurant,Coffe Shop,Mediterranean Restaurant,Supermarket,Vegetarian / Vegan Restaurant,Bakery,Cocktail Bar,Gym,Burger Joint,Grocery Store
62,LES PLANES/FGC,Restaurant,BBQ Joint,Rock Club,Toy / Game Store,Food Court,Football Stadium,Monument / Landmark,South American Restaurant,Taco Place,Port
63,LES TRES TORRES/FGC (L6),Restaurant,Hotel,Mediterranean Restaurant,Burger Joint,Pizza Place,Pedestrian Plaza,Doctor's Office,Italian Restaurant,Seafood Restaurant,Mexican Restaurant
64,LES TRES TORRES<center>/FGC,Restaurant,Hotel,Mediterranean Restaurant,Burger Joint,Pizza Place,Pedestrian Plaza,Doctor's Office,Italian Restaurant,Seafood Restaurant,Mexican Restaurant
65,LESSEPS/METRO (L3),Italian Restaurant,Pizza Place,Hotel,Restaurant,Deli / Bodega,Plaza,Gastropub,Bakery,Bar,Wine Bar
66,LICEU/METRO (L3),Restaurant,Tapas Restaurant,Coffe Shop,Plaza,Ice Cream Shop,Dessert Shop,Hotel,Monument / Landmark,Sporting Goods Shop,Tea Room
67,LLACUNA/METRO (L4),Restaurant,Mediterranean Restaurant,Hotel,Coffe Shop,Bakery,Pizza Place,Italian Restaurant,Beer Bar,Art Gallery,Argentinian Restaurant
68,LLUCMAJOR/METRO (L4),Plaza,Grocery Store,Restaurant,Tapas Restaurant,Pizza Place,Seafood Restaurant,Bakery,Supermarket,Snack Place,South American Restaurant
69,MAGÒRIA/FGC,Supermarket,Restaurant,Hotel,Burger Joint,Gym,Pizza Place,Theater,Sports Club,Dog Run,Food & Drink Shop
70,MARAGALL/METRO (L5),Bar,Tapas Restaurant,Restaurant,Coffe Shop,Cocktail Bar,Grocery Store,Gym,Brewery,Seafood Restaurant,Japanese Restaurant
71,MARIA CRISTINA/METRO (L3),Restaurant,Coffe Shop,Supermarket,Bar,Sandwich Place,Diner,Japanese Restaurant,Cocktail Bar,Burger Joint,Vegetarian / Vegan Restaurant
72,MARINA/METRO (L1),Coffe Shop,Restaurant,Bakery,Mediterranean Restaurant,Gym,Theater,Rock Club,Bar,Supermarket,Music Venue
73,MERCAT NOU/METRO (L1),Coffe Shop,Mediterranean Restaurant,Tapas Restaurant,Hostel,Bakery,Italian Restaurant,Bar,Supermarket,Pie Shop,Plaza
74,MONTBAU/METRO (L3),Plaza,Park,Restaurant,Mediterranean Restaurant,Grocery Store,Soccer Stadium,Breakfast Spot,Tennis Court,Basketball Court,Stadium
75,MONUMENTAL/METRO (L2),Restaurant,Coffe Shop,Hotel,Grocery Store,Tapas Restaurant,Mexican Restaurant,Mediterranean Restaurant,Bakery,Bed & Breakfast,Indian Restaurant
76,MUNDET/METRO (L3),Restaurant,Plaza,Coffe Shop,Hotel,Soccer Field,Gym,Stadium,Garden,Soccer Stadium,Chinese Restaurant
77,MUNTANER/FGC,Mediterranean Restaurant,Restaurant,Coffe Shop,Italian Restaurant,Grocery Store,Japanese Restaurant,Deli / Bodega,Park,Plaza,Bar
78,Miramar/Transbordador del Port,Hotel,Hostel,Restaurant,Tapas Restaurant,Plaza,Park,Nightclub,Bar,Scenic Lookout,Sandwich Place
79,"Mª CRISTINA/TRAMVIA (T1,T2,T3)",Restaurant,Coffe Shop,Hotel,Supermarket,Bar,Sandwich Place,Diner,Cocktail Bar,Burger Joint,Italian Restaurant
80,NAVAS/METRO (L1),Supermarket,Grocery Store,Restaurant,Coffe Shop,Italian Restaurant,Gym,Brewery,Cooking School,Japanese Restaurant,Middle Eastern Restaurant
81,"NUMÀNCIA/TRAMVIA (T1,T2,T3)",Restaurant,Coffe Shop,Hotel,Clothing Store,Sandwich Place,Supermarket,Sushi Restaurant,Cocktail Bar,Burger Joint,Italian Restaurant
82,"ONZE DE SETEMBRE/METRO (L9, L10)",Supermarket,Coffe Shop,Tapas Restaurant,Mediterranean Restaurant,Italian Restaurant,Soccer Field,Restaurant,Breakfast Spot,Organic Grocery,Health Food Store
83,PADUA/FGC,Bakery,Italian Restaurant,Mediterranean Restaurant,Plaza,Wine Bar,Deli / Bodega,Hotel,Grocery Store,Supermarket,Japanese Restaurant
84,PALAU REIAL/METRO (L3),Restaurant,Coffe Shop,Hotel,Mediterranean Restaurant,Garden,Bar,German Restaurant,Donut Shop,Print Shop,Breakfast Spot
85,PARAL·LEL/METRO (L3),Tapas Restaurant,Hotel,Bar,Cocktail Bar,Restaurant,Theater,Plaza,Seafood Restaurant,Pizza Place,Nightclub
86,PASSEIG DE GRÀCIA/METRO (L2),Hotel,Restaurant,Tapas Restaurant,Mediterranean Restaurant,Clothing Store,Hostel,Coffe Shop,Sporting Goods Shop,Bookstore,Cocktail Bar
87,PENITENTS/METRO (L3),Restaurant,Hotel,Snack Place,Coffe Shop,Football Stadium,Mediterranean Restaurant,Plaza,Breakfast Spot,Soccer Field,Monument / Landmark
88,PERE IV/TRAMVIA (T4),Mediterranean Restaurant,Restaurant,Hotel,Italian Restaurant,Supermarket,Vegetarian / Vegan Restaurant,Japanese Restaurant,Pizza Place,Asian Restaurant,Bakery
89,PEU FUNICULAR/FGC,Scenic Lookout,Trail,Diner,Neighborhood,Rock Club,Food Court,Football Stadium,Monument / Landmark,South American Restaurant,Taco Place
90,"PIUS XII/TRAMVIA (T1,T2,T3)",Restaurant,Hotel,Coffe Shop,Bakery,Vegetarian / Vegan Restaurant,Diner,Italian Restaurant,Bar,Garden,Plaza
91,PL. DR. ANDREU/TRAMVIA BLAU,Restaurant,Bar,Planetarium,Plaza,Park,Cocktail Bar,Football Stadium,Science Museum,Animal Shelter,Exhibit
92,PLAÇA DE SANTS/METRO (L1),Tapas Restaurant,Bar,Italian Restaurant,Mediterranean Restaurant,Coffe Shop,Hotel,Wine Bar,Middle Eastern Restaurant,Pizza Place,Supermarket
93,PLAÇA DEL CENTRE/METRO (L3),Restaurant,Coffe Shop,Grocery Store,Bakery,Mediterranean Restaurant,Supermarket,Hotel,Park,Gym,Tapas Restaurant
94,PLAÇA MOLINA/FGC (L7),Coffe Shop,Mediterranean Restaurant,Restaurant,Bakery,Hotel,Tapas Restaurant,Plaza,Wine Bar,Pizza Place,Italian Restaurant
95,PLAÇA MOLINA<center>/FGC,Coffe Shop,Mediterranean Restaurant,Restaurant,Bakery,Hotel,Tapas Restaurant,Plaza,Wine Bar,Pizza Place,Italian Restaurant
96,POBLE SEC/METRO (L3),Tapas Restaurant,Coffe Shop,Restaurant,Pizza Place,Cocktail Bar,Italian Restaurant,Bar,Beer Bar,Brewery,Burger Joint
97,POBLENOU/METRO (L4),Restaurant,Mediterranean Restaurant,Pizza Place,Italian Restaurant,Coffe Shop,Hotel,Tapas Restaurant,Cocktail Bar,Bakery,Argentinian Restaurant
98,PROVENÇA/FGC,Hotel,Restaurant,Mediterranean Restaurant,Cocktail Bar,Tapas Restaurant,Boutique,Sandwich Place,Hostel,Burger Joint,Gym
99,Parc de Montjuïc/Telefèric de Montjuïc,Mediterranean Restaurant,Park,Coffe Shop,Brewery,Cocktail Bar,Pizza Place,Restaurant,Racetrack,Bus Stop,Gastropub
100,REINA ELISENDA/FGC (L6),Restaurant,Coffe Shop,Bakery,Breakfast Spot,Tapas Restaurant,Mediterranean Restaurant,Dessert Shop,Pedestrian Plaza,Burger Joint,Diner
101,ROCAFORT/METRO (L1),Coffe Shop,Hotel,Tapas Restaurant,Mediterranean Restaurant,Restaurant,Burger Joint,Bar,Indian Restaurant,Gym,Cocktail Bar
102,ROQUETES/METRO (L3),Restaurant,Gym,Music Venue,Sports Club,Falafel Restaurant,Castle,Diner,Gym Pool,Pharmacy,Grocery Store
103,SAGRADA FAMÍLIA/METRO (L2),Coffe Shop,Restaurant,Italian Restaurant,Hotel,Plaza,Burger Joint,Bakery,Wine Bar,Sandwich Place,Latin American Restaurant
104,SANT ANDREU ARENAL/RENFE,Restaurant,Grocery Store,Tapas Restaurant,Mediterranean Restaurant,Park,Bakery,Asian Restaurant,Sandwich Place,Food,Pet Store
105,SANT ANDREU COMTAL/RENFE,Restaurant,Coffe Shop,Plaza,Park,Supermarket,Bar,Brewery,Japanese Restaurant,Coworking Space,Shopping Mall
106,SANT ANDREU/METRO (L1),Restaurant,Coffe Shop,Bar,Plaza,Park,Grocery Store,Brewery,Mexican Restaurant,Argentinian Restaurant,Snack Place
107,SANT ANTONI/METRO (L2),Coffe Shop,Bar,Restaurant,Cocktail Bar,Mediterranean Restaurant,Hotel,Bookstore,Pizza Place,Argentinian Restaurant,Wine Bar
108,SANT GERVASI/FGC,Coffe Shop,Mediterranean Restaurant,Restaurant,Pizza Place,Hotel,Tapas Restaurant,Plaza,Wine Bar,Grocery Store,Bakery
109,"SANT MARTÍ DE PROVENÇALS/TRAMVIA (T5, T6)",Soccer Field,Coffe Shop,Tapas Restaurant,Grocery Store,Bakery,Pizza Place,Tennis Court,Pedestrian Plaza,Pawn Shop,Farmers Market
110,SANT MARTÍ/METRO (L2),Coffe Shop,Tapas Restaurant,Soccer Field,Park,Grocery Store,Bakery,Supermarket,Pizza Place,Smoke Shop,Pedestrian Plaza
111,SANT PAU/METRO (L5),Restaurant,Bakery,Hotel,Supermarket,Italian Restaurant,Coffe Shop,Grocery Store,Bar,Pizza Place,Japanese Restaurant
112,"SANT RAMON/TRAMVIA (T1,T2,T3)",Restaurant,Gym,Coffe Shop,Supermarket,Wine Shop,Hostel,Food Truck,Hotel,Bar,South American Restaurant
113,SANTS ESTACIÓ/METRO (L3),Restaurant,Hotel,Coffe Shop,Grocery Store,Tapas Restaurant,Mediterranean Restaurant,Supermarket,Burger Joint,Park,Nightclub
114,SARRIÀ/FGC,Restaurant,Bakery,Mediterranean Restaurant,Coffe Shop,Hotel,Breakfast Spot,Burger Joint,Pizza Place,Pedestrian Plaza,Grocery Store
115,SELVA DE MAR/METRO (L4),Coffe Shop,Hotel,Mediterranean Restaurant,Restaurant,Pizza Place,Diner,Breakfast Spot,Bistro,Track,Sports Club
116,Sant Sebastià/Transbordador del Port,Clothing Store,Beach,Mediterranean Restaurant,Paella Restaurant,Bar,Coffe Shop,Tapas Restaurant,Beach Bar,Board Shop,Fast Food Restaurant
117,TARRAGONA/METRO (L3),Restaurant,Hotel,Coffe Shop,Gym,Bar,Tapas Restaurant,Park,Grocery Store,Burger Joint,Pizza Place
118,TETUAN/METRO (L2),Hotel,Coffe Shop,Hostel,Restaurant,Mediterranean Restaurant,Burger Joint,Tapas Restaurant,Bistro,Breakfast Spot,Chinese Restaurant
119,TORRAS I BAGES/METRO (L1),Restaurant,Grocery Store,Pizza Place,Plaza,Supermarket,Bakery,Mexican Restaurant,Department Store,Japanese Restaurant,Pharmacy
120,TORRE BARÓ/METRO (L11),Plaza,Park,Grocery Store,Neighborhood,Rock Club,Toy / Game Store,Food Court,Football Stadium,Monument / Landmark,South American Restaurant
121,TRINITAT NOVA/METRO (L3),Restaurant,Park,Breakfast Spot,Grocery Store,Music Venue,Tapas Restaurant,Pharmacy,Juice Bar,Rock Club,Football Stadium
122,TRINITAT VELLA/METRO (L1),Restaurant,Soccer Field,Tapas Restaurant,Plaza,Park,Comfort Food Restaurant,Football Stadium,Monument / Landmark,South American Restaurant,Taco Place
123,Terminal Marítima A *Creuers/Terminal Marítima A *Creuers,Boat or Ferry,Cruise,Pier,Rock Club,Food Court,Football Stadium,Monument / Landmark,South American Restaurant,Taco Place,Port
124,Terminal Marítima C *Creuers/Terminal Marítima C *Creuers,Boat or Ferry,Cruise,Pier,Surf Spot,Event Service,Castle,Taco Place,Food Court,Football Stadium,Salon / Barbershop
125,Terminal Marítima D *Creuers/Terminal Marítima D *Creuers,Cruise,Boat or Ferry,Coffe Shop,Pier,Port,Neighborhood,Rock Club,Football Stadium,Monument / Landmark,South American Restaurant
126,Terminal Marítima E *Creuers/Terminal Marítima E *Creuers,Cruise,Boat or Ferry,Pier,Port,Rock Club,Food Court,Football Stadium,Monument / Landmark,South American Restaurant,Taco Place
127,Terminal Marítima Maremàgnum *Creuers/Terminal Marítima Maremàgnum *Creuers,Coffe Shop,Hotel,Restaurant,Italian Restaurant,Mediterranean Restaurant,Circus,Ice Cream Shop,Pier,Comfort Food Restaurant,Cable Car
128,Terminal Marítima Sant Bertran *Ferris/Terminal Marítima Sant Bertran *Ferris,Restaurant,Garden,Paella Restaurant,Pier,Athletics & Sports,Roof Deck,Boat or Ferry,Cruise,Scenic Lookout,Mediterranean Restaurant
129,UNIVERSITAT/METRO (L2),Coffe Shop,Hotel,Cocktail Bar,Bookstore,Mediterranean Restaurant,Vegetarian / Vegan Restaurant,Bar,Restaurant,Gym,Beer Bar
130,URGELL/METRO (L1),Coffe Shop,Cocktail Bar,Restaurant,Tapas Restaurant,Mediterranean Restaurant,Bar,Japanese Restaurant,Hotel,Gay Bar,Wine Bar
131,URQUINAONA/METRO (L4),Hotel,Restaurant,Coffe Shop,Tapas Restaurant,Mediterranean Restaurant,Japanese Restaurant,Clothing Store,Art Gallery,Sporting Goods Shop,Plaza
132,"VALL D'HEBRON/METRO (L3, L5)",Restaurant,Soccer Stadium,Bakery,Athletics & Sports,Farmers Market,Basketball Court,Bar,Stadium,Soccer Field,Grocery Store
133,VALL D'HEBRÓN/METRO (L5),Restaurant,Soccer Stadium,Bakery,Athletics & Sports,Farmers Market,Basketball Court,Bar,Stadium,Soccer Field,Grocery Store
134,VALLCARCA/METRO (L3),Coffe Shop,Hotel,Sandwich Place,Bakery,Supermarket,Burger Joint,Park,Grocery Store,Breakfast Spot,Restaurant
135,VALLDAURA/METRO (L3),Restaurant,Park,Soccer Stadium,Soccer Field,Outdoors & Recreation,Supermarket,Bakery,Hostel,Hotel,Tapas Restaurant
136,VERDAGUER/METRO (L5),Restaurant,Tapas Restaurant,Italian Restaurant,Hotel,Mediterranean Restaurant,Bakery,Japanese Restaurant,Hostel,Vegetarian / Vegan Restaurant,Bar
137,VIA JÚLIA/METRO (L4),Restaurant,Grocery Store,Park,Gift Shop,Sports Club,Building,Bar,Pizza Place,Plaza,Port
138,VILAPICINA/METRO (L5),Restaurant,Tapas Restaurant,Supermarket,Pizza Place,Pub,Italian Restaurant,Breakfast Spot,Hot Dog Joint,Coffe Shop,Pharmacy
139,VIRREI AMAT/METRO (L5),Coffe Shop,Tapas Restaurant,Bar,Restaurant,Grocery Store,Asian Restaurant,Food,Diner,Supermarket,Plaza
140,WELLINGTON/TRAMVIA (T4),Coffe Shop,Restaurant,Supermarket,Burger Joint,Pizza Place,Bakery,Mediterranean Restaurant,Park,Gym,Hostel
141,ZONA UNIVERSITÀRIA/METRO (L3),Restaurant,Gym,Bar,Nightclub,Hot Dog Joint,Sports Club,Athletics & Sports,Hotel Pool,Print Shop,Italian Restaurant
142,inferior/Funicular VALLVIDRERA,Scenic Lookout,Trail,Diner,Neighborhood,Rock Club,Food Court,Football Stadium,Monument / Landmark,South American Restaurant,Taco Place
143,superior/Funicular TIBIDABO,Theme Park Ride / Attraction,Theme Park,Scenic Lookout,Museum,Church,Mountain,Hotel Pool,Hotel Bar,Plaza,Mediterranean Restaurant
